id,dataset_id,dataset_code,dataset_name,dataelement_id,dataelement_code,dataelement_name,section_name,section_code,hmis_code
30,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",QFolEgl8SEB,CL17,Rotavirus 2 Vaccine,Child Immunization,2.6.3,CL17
31,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",umOw6ICceuL,CL19,Malaria 1,Child Immunization,2.6.3,CL19
32,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",tYobnmqU9Fk,CL20,Malaria 2,Child Immunization,2.6.3,CL20
33,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",xZTA1fYRqy8,CL21,Malaria 3,Child Immunization,2.6.3,CL21
34,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",Ln0EgQilDUI,CL22,Yellow Fever,Child Immunization,2.6.3,CL22
35,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",WAjgHQVxVVm,CL23,Measles (MR1),Child Immunization,2.6.3,CL23
36,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",OG2VmPZSmyv,CL24,Fully immunized by 1 year,Child Immunization,2.6.3,CL24
37,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",peXxgiReRrs,CL25,Number received LLINs,Child Immunization,2.6.3,CL25
38,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",nOi3WF8kNxD,CL26,Malaria 4,Child Immunization,2.6.3,CL26
39,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",yctOQDdXZav,CL27,Measles (MR2),Child Immunization,2.6.3,CL27
