id,dataset_id,dataset_code,dataset_name,dataelement_id,dataelement_code,dataelement_name,hmis_code
121,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),Bax9SZ4nvPw,ML05A,Hep B Viral Load - Number Done,ML05
122,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),TN0mmttzxnd,ML05B,Hep B Viral Load - Number Positive,ML05
123,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),EoapWImZrpK,ML06A,EID (PCR) - Number Done,ML06
124,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),xPtOdRdjbze,ML06B,EID (PCR) - Number Positive,ML06
125,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),Lta7wvGeMcV,ML07A,Covid-19 (GXP / mRDT) - Number Done,ML07
126,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),lnhQcD8kNEe,ML07B,Covid-19 (GXP / mRDT) - Number Positive,ML07
127,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),uczoHBurJod,ML08A,Others - Number Done,ML08
128,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),wV8nR3BE26Q,ML08B,Others - Number Positive,ML08
129,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),wTdG6nnYMj4,MS01,Entamoeba - Positive,MS01
130,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),u1Rv1mxNmJn,MS02,Giardia Lumblia- Positive,MS02
131,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),jd8YHK81EYe,MS03,Cryptosporidium - Positive,MS03
132,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),sMYJWV46KrX,MS04,Isospora - Positive,MS04
133,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),z7bnAKXSWFL,MS05,Cyclospora - Positive,MS05
134,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),mZ2HwpIgf9U,MS06,Strongyloides - Positive,MS06
135,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),dmm7XMg6XCK,MS07,Schistosoma - Positive,MS07
136,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),h4awJUYZXxR,MS08,Taenia - Positive,MS08
137,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),xD0bQSWLu2t,MS09,Askaris - Positive,MS09
138,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),dHBQ4tnISlq,MS10,Hookworm - Positive,MS10
139,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),zkhvWfk1aNF,MS11,Trichuris - Positive,MS11
140,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),Z4w3OOLA6MU,MS12,Other_Parasities - Positives,MS12
141,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),OMq2TLc3nt0,MS13,Total Tests Done for Stool Microscopy,MS13
142,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),lyKbbP7LeTH,PP01,Amylase - Done,PP01
143,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),QGgeoySty6L,PP02,Lipase - Done,PP02
144,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),XxiY4tHbl2Z,PP03 ,Extended Electrolytes - Done,PP03 
145,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),vyKwpmxmgl5,PP04 ,Calcium - Done,PP04 
146,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),uhto05XLPSr,PP05,Magnessium - Done,PP05
147,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),jmpvzaJi5c0,PS01A,Malaria Microscopy - Done,PS01
148,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),OwLbdAphoNp,PS01B,Malaria Microscopy - Positive,PS01
149,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),JfOGWtiSj1J,PS02A,Malaria RDTs - Done,PS02
150,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),OOsYcFK5YbS,PS02B,Malaria RDTs - Positive,PS02
151,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),NrNzNOidiE8,PS03A,Trypanosoma - Done,PS03
152,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),b97pHj26X0h,PS03B,Trypanosoma - Positive,PS03
153,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),S8VpnPS89ZJ,PS04A,Microfilaria - Done,PS04
154,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),aTpLorJB8OX,PS04B,Microfilaria - Positive,PS04
155,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),jVBv8a8sTby,PS05A,Trichinella - Done,PS05
156,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),PFTxDUPFBuc,PS05B,Trichinella - Positive,PS05
157,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),TZkw6GmubnT,PS06A,Borrellia - Done,PS06
158,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),iRQWRvBzyXl,PS06B,Borrellia - Positive,PS06
159,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),zGgvWmAoA26,RP01,Urea - Done,RP01
160,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),V4F9DIaEfke,RP02,Chloride - Done,RP02
161,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),Q5NfznovGC7,RP03,Potassium - Done,RP03
162,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),UnoKFNaPlS4,RP04,Sodium - Done,RP04
163,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),yijGYWqLK3L,RP05,Creatinine - Done,RP05
164,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),eSF3SXwU7Vj,RS01,Inadequate specimen volume,RS01
165,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),TIkGhlmaAxY,RS02,Heamolyzed specimen,RS02
166,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),UlJGkeEmV4S,RS03,Specimen without lab request form,RS03
167,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),WKV9sj5Chfn,RS04,No test specified on lab request form accompanying specimen,RS04
168,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),CRGdmgZ42dW,RS05,Specimen without label or identifier,RS05
169,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),DyCyRhBfsxT,RS06,Wrong specimen label,RS06
170,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),hN1rHraRHo1,RS07,Unclear specimen label,RS07
171,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),EOBdlb6pkLx,RS08,Wrong specimen container,RS08
172,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),GwNyBcwsx5X,RS09,Damaged specimen container,RS09
173,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),bQgPxazzwDh,RS10,Too old specimen,RS10
174,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),LhpfB8nVkzA,RS11,Date of specimen collection not specified,RS11
175,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),w71YrG6FYtY,RS12,Time of specimen collection not specified,RS12
176,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),toZpoxPTChY,RS13,Specimen type unacceptable for required test,RS13
177,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),LBveCUC8bJ1,RS14,Other reasons,RS14
178,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),reB03ib2geA,RT01,Routine tests that could not be conducted at facility - Chemistry,RT01
179,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),slsXAv1Jqtc,RT02,Routine tests that could not be conducted at facility - Microbiology,RT02
180,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),YMJHKWJRY22,RT03,Routine tests that could not be conducted at facility - HIV screening,RT03
181,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),N7iozDIRDH6,RT04,Routine tests that could not be conducted at facility - Haematology,RT04
182,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),IDkHHcf2Fdx,RT05,Routine tests that could not be conducted at facility - Parasitology,RT05
183,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),DC0x3PfbDCB,RT07,Routine tests that could not be conducted at facility - Serology,RT07
184,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),G5MxyfW7dH5,SR01A,VDRL/ RPR - Done,SR01
185,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),mIJFz3kAhAw,SR01B,VDRL/ RPR - Positive,SR01
186,quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),YW1LKh5m22o,SR02A,TPHA - Done,SR02
