"id","section_id","section_name","hmis_code","hmis_name","disease_id","five_character_icd_code","four_character_icd_code","disease_name","simplified_name"
39,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP12,Other Viral Hemorrhagic Fevers,457,A98.3,A983,Marburg virus disease,''
40,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP13,Severe Acute Respiratory Infection(SARI),4354,J68.3,J683,"Other acute and subacute respiratory conditions due to chemicals, gases, fumes and vapours","Reactive airways dysfunction syndrome, "
41,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP11,Yellow Fever,443,A95,A95,Yellow fever,''
42,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP12,Other Viral Hemorrhagic Fevers,442,A94,A94,Unspecified arthropod-borne viral fever,"Arboviral fever NOS, Arbovirus infection NOS, "
43,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP12,Other Viral Hemorrhagic Fevers,441,A93.8,A938,Other specified arthropod-borne viral fevers,"Piry virus disease, Severe fever with thrombocytopenia syndrome [SFTS], Vesicular stomatitis virus disease [Indiana fever], "
44,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP12,Other Viral Hemorrhagic Fevers,440,A93.2,A932,Colorado tick fever,''
45,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP12,Other Viral Hemorrhagic Fevers,439,A93.1,A931,Sandfly fever,"Pappataci fever, Phlebotomus fever, "
46,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP12,Other Viral Hemorrhagic Fevers,438,A93.0,A930,Oropouche virus disease,"Oropouche fever, "
47,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP12,Other Viral Hemorrhagic Fevers,437,A93,A93,"Other arthropod-borne viral fevers, not elsewhere classified",''
632,"1.3.11","1.3.11 Cancers",CA01,Cervical Cancer,1198,C53.1,C531,Exocervix,"Malignant neoplasm: Exocervix, "
48,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP12,Other Viral Hemorrhagic Fevers,436,A92.9,A929,"Mosquito-borne viral fever, unspecified",''
49,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP12,Other Viral Hemorrhagic Fevers,435,A92.8,A928,Other specified mosquito-borne viral fevers,''
50,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP12,Other Viral Hemorrhagic Fevers,434,A92.4,A924,Rift Valley fever,''
51,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP12,Other Viral Hemorrhagic Fevers,433,A92.3,A923,West Nile virus infection,"West Nile fever, "
52,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP12,Other Viral Hemorrhagic Fevers,432,A92.2,A922,Venezuelan equine fever,"Venezuelan equine: encephalitis, Venezuelan equine: encephalomyelitis virus disease, "
53,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP12,Other Viral Hemorrhagic Fevers,431,A92.1,A921,O'nyong-nyong fever,''
54,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP12,Other Viral Hemorrhagic Fevers,430,A92.0,A920,Chikungunya virus disease,"Chikungunya (haemorrhagic) fever, "
55,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP12,Other Viral Hemorrhagic Fevers,429,A92,A92,Other mosquito-borne viral fevers,''
56,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP12,Other Viral Hemorrhagic Fevers,428,A91,A91,Dengue haemorrhagic fever,""
57,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP12,Other Viral Hemorrhagic Fevers,427,A90,A90,Dengue fever [classical dengue],""
58,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP17,"Other Emerging infectious Diseases specify e.g. Influenza like illness (ILI), SARS",12119,U04,U04,Severe acute respiratory syndrome [SARS],''
59,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP12,Other Viral Hemorrhagic Fevers,458,A98.4,A984,Ebola virus disease,''
60,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP17,"Other Emerging infectious Diseases specify e.g. Influenza like illness (ILI), SARS",12120,U04.9,U049,"Severe acute respiratory syndrome [SARS], unspecified",''
61,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP04,Cholera,1,A00,A00,Cholera,Cholera
62,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP09,Neonatal tetanus,188,A33,A33,Tetanus neonatorum,"Neonatal tetanus, "
63,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP10,Plague,120,A20.9,A209,"Plague, unspecified",''
64,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP10,Plague,119,A20.8,A208,Other forms of plague,"Abortive plague, Asymptomatic plague, Pestis minor, "
65,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP10,Plague,118,A20.7,A207,Septicaemic plague,''
66,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP10,Plague,117,A20.3,A203,Plague meningitis,''
67,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP10,Plague,116,A20.2,A202,Pneumonic plague,''
68,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP10,Plague,115,A20.1,A201,Cellulocutaneous plague,''
69,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP10,Plague,114,A20.0,A200,Bubonic plague,''
70,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP10,Plague,113,A20,A20,Plague,"infection due to Yersinia pestis, "
71,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP16,Presumptive MDRTB cases,112,A19.9,A199,"Miliary tuberculosis, unspecified",''
72,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP05,Dysentery,44,A06.0,A060,Acute amoebic dysentery,"Acute amoebiasis, Intestinal amoebiasis NOS, "
73,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP15,Typhoid Fever,6,A01.0,A010,Typhoid fever,"Infection due to Salmonella typhi, "
74,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP04,Cholera,4,A00.9,A009,"Cholera, unspecified",''
75,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP04,Cholera,3,A00.1,A001,"Cholera due to Vibrio cholerae 01, biovar eltor","Cholera eltor, "
76,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP04,Cholera,2,A00.0,A000,"Cholera due to Vibrio cholerae 01, biovar cholerae","Classical cholera, "
77,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP12,Other Viral Hemorrhagic Fevers,458,A98.4,A984,Ebola virus disease,''
78,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP12,Other Viral Hemorrhagic Fevers,459,A98.5,A985,Haemorrhagic fever with renal syndrome,"Haemorrhagic fever: epidemic, Haemorrhagic fever: Korean, Haemorrhagic fever: Russian, Hantaan virus disease, Hantaanvirus disease with renal manifestations, Nephropathia epidemica, "
79,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP12,Other Viral Hemorrhagic Fevers,460,A98.8,A988,Other specified viral haemorrhagic fevers,''
80,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP02,Acute Flaccid Paralysis,3185,G82.3,G823,Flaccid tetraplegia,''
81,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP08,Bacterial Meningitis,2869,G01,G01,Meningitis in bacterial diseases classified elsewhere,"Meningitis (in): anthrax, Meningitis (in): gonococcal, Meningitis (in): leptospirosis, Meningitis (in): listerial, Meningitis (in): Lyme disease, Meningitis (in): meningococcal, Meningitis (in): neurosyphilis, Meningitis (in): salmonella infection, Meningitis (in): syphilis: congenital, Meningitis (in): syphilis: secondary, Meningitis (in): tuberculous, Meningitis (in): typhoid fever, "
82,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP08,Bacterial Meningitis,2868,G00.9,G009,"Bacterial meningitis, unspecified","Meningitis: purulent NOS, Meningitis: pyogenic NOS, Meningitis: suppurative NOS, "
83,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP08,Bacterial Meningitis,2867,G00.8,G008,Other bacterial meningitis,"Meningitis due to: Escherichia coli, Meningitis due to: Friedlander bacillus, Meningitis due to: Klebsiella, "
84,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP02,Acute Flaccid Paralysis,3182,G82.0,G820,Flaccid paraplegia,''
85,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP07,Measles,488,B05,B05,Measles,"morbilli, "
86,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP07,Measles,489,B05.0,B050,Measles complicated by encephalitis,"Postmeasles encephalitis, "
87,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP07,Measles,490,B05.1,B051,Measles complicated by meningitis,"Postmeasles meningitis, "
88,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP02,Acute Flaccid Paralysis,3178,G81.0,G810,Flaccid hemiplegia,''
89,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP07,Measles,491,B05.2,B052,Measles complicated by pneumonia,"Postmeasles pneumonia, "
90,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP07,Measles,492,B05.3,B053,Measles complicated by otitis media,"Postmeasles otitis media, "
91,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP07,Measles,493,B05.4,B054,Measles with intestinal complications,''
92,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP07,Measles,494,B05.8,B058,Measles with other complications,"Measles keratitis and keratoconjunctivitis, "
93,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP07,Measles,495,B05.9,B059,Measles without complication,"Measles NOS, "
94,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP07,Measles,496,B06,B06,Rubella [German measles],''
95,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP13,Severe Acute Respiratory Infection(SARI),4176,J06.8,J068,Other acute upper respiratory infections of multiple sites,''
96,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP03,Animal Bites (suspected rabies),10814,W54,W54,Bitten or struck by dog,"Dog bite, "
97,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP14,Adverse Events Following Immunization(AEFI),9825,T88.1,T881,"Other complications following immunization, not elsewhere classified","Rash following immunization, "
98,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP14,Adverse Events Following Immunization(AEFI),9824,T88.0,T880,Infection following immunization,"Sepsis following immunization, "
99,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP13,Severe Acute Respiratory Infection(SARI),4174,J06,J06,Acute upper respiratory infections of multiple and unspecified sites,''
100,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP13,Severe Acute Respiratory Infection(SARI),4177,J06.9,J069,"Acute upper respiratory infection, unspecified","Upper respiratory: disease, acute, Upper respiratory: infection NOS, "
101,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP08,Bacterial Meningitis,2862,G00,G00,"Bacterial meningitis, not elsewhere classified","arachnoiditis bacterial, leptomeningitis bacterial, meningitis bacterial, pachymeningitis bacterial, "
102,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01d, Malaria cases treated,710,B50,B50,Plasmodium falciparum malaria,"mixed infections of Plasmodium falciparum with any other Plasmodium species, "
103,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01e, Malaria Total,710,B50,B50,Plasmodium falciparum malaria,"mixed infections of Plasmodium falciparum with any other Plasmodium species, "
104,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01d, Malaria cases treated,711,B50.0,B500,Plasmodium falciparum malaria with cerebral complications,"Cerebral malaria, Cerebral malaria NOS, "
105,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01e, Malaria Total,711,B50.0,B500,Plasmodium falciparum malaria with cerebral complications,"Cerebral malaria, Cerebral malaria NOS, "
