"id","section_id","section_name","hmis_code","hmis_name","disease_id","five_character_icd_code","four_character_icd_code","disease_name","simplified_name"
298,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1766,D46.2,D462,Refractory anaemia with excess of blasts [RAEB],''
299,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1767,D46.4,D464,"Refractory anaemia, unspecified",''
300,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1768,D46.5,D465,Refractory anaemia with multi-lineage dysplasia,''
301,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1791,D50,D50,Iron deficiency anaemia,"anaemia: asiderotic, anaemia: hypochromic, "
302,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1792,D50.0,D500,Iron deficiency anaemia secondary to blood loss (chronic),"Posthaemorrhagic anaemia (chronic), "
303,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1793,D50.1,D501,Sideropenic dysphagia,"Kelly-Paterson syndrome, Plummer-Vinson syndrome, "
304,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1794,D50.8,D508,Other iron deficiency anaemias,''
305,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1795,D50.9,D509,"Iron deficiency anaemia, unspecified",''
306,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1796,D51,D51,Vitamin B,''
307,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1797,D51.0,D510,Vitamin B,"Anaemia: Addison, Anaemia: Biermer, Anaemia: pernicious (congenital), Congenital intrinsic factor deficiency, "
308,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1800,D51.3,D513,Other dietary vitamin B,"Vegan anaemia, "
309,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1801,D51.8,D518,Other vitamin B,''
310,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1802,D51.9,D519,Vitamin B,''
311,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1803,D52,D52,Folate deficiency anaemia,''
312,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1804,D52.0,D520,Dietary folate deficiency anaemia,"Nutritional megaloblastic anaemia, "
313,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1805,D52.1,D521,Drug-induced folate deficiency anaemia,''
314,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1806,D52.8,D528,Other folate deficiency anaemias,''
315,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1807,D52.9,D529,"Folate deficiency anaemia, unspecified","Folic acid deficiency anaemia NOS, "
316,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1808,D53,D53,Other nutritional anaemias,"megaloblastic anaemia unresponsive to vitamin B, "
317,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1809,D53.0,D530,Protein deficiency anaemia,"Amino-acid deficiency anaemia, Orotaciduric anaemia, "
318,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1810,D53.1,D531,"Other megaloblastic anaemias, not elsewhere classified","Megaloblastic anaemia NOS, "
319,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1811,D53.2,D532,Scorbutic anaemia,''
320,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1812,D53.8,D538,Other specified nutritional anaemias,"Anaemia associated with deficiency of: copper, Anaemia associated with deficiency of: molybdenum, Anaemia associated with deficiency of: zinc, "
321,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1813,D53.9,D539,"Nutritional anaemia, unspecified","Simple chronic anaemia, "
322,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1814,D55,D55,Anaemia due to enzyme disorders,''
323,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1815,D55.0,D550,Anaemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency,"Favism, G6PD deficiency anaemia, "
324,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1816,D55.1,D551,Anaemia due to other disorders of glutathione metabolism,"Anaemia (due to): enzyme deficiencies, except G6PD, related to the hexose monophosphate [HMP] shunt pathway, Anaemia (due to): haemolytic nonspherocytic (hereditary), type I, "
325,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1817,D55.2,D552,Anaemia due to disorders of glycolytic enzymes,"Anaemia: haemolytic nonspherocytic (hereditary), type II, Anaemia: hexokinase deficiency, Anaemia: pyruvate kinase [PK] deficiency, Anaemia: triose-phosphate isomerase deficiency, "
326,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1818,D55.3,D553,Anaemia due to disorders of nucleotide metabolism,''
327,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1819,D55.8,D558,Other anaemias due to enzyme disorders,''
328,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1820,D55.9,D559,"Anaemia due to enzyme disorder, unspecified",''
329,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC01,Sickle Cell Anaemia,1830,D57.0,D570,Sickle-cell anaemia with crisis,"Hb-SS disease with crisis, "
330,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC01,Sickle Cell Anaemia,1831,D57.1,D571,Sickle-cell anaemia without crisis,"Sickle-cell: anaemia NOS, Sickle-cell: disease NOS, Sickle-cell: disorder NOS, "
331,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1835,D58,D58,Other hereditary haemolytic anaemias,''
332,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1839,D58.8,D588,Other specified hereditary haemolytic anaemias,"Stomatocytosis, "
333,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1840,D58.9,D589,"Hereditary haemolytic anaemia, unspecified",''
334,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1841,D59,D59,Acquired haemolytic anaemia,''
335,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1842,D59.0,D590,Drug-induced autoimmune haemolytic anaemia,''
336,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1843,D59.1,D591,Other autoimmune haemolytic anaemias,"Autoimmune haemolytic disease (cold type)(warm type), Chronic cold haemagglutinin disease, Cold agglutinin: disease, Cold agglutinin: haemoglobinuria, Haemolytic anaemia: cold type (secondary)(symptomatic), Haemolytic anaemia: warm type (secondary)(symptomatic), "
337,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1844,D59.2,D592,Drug-induced nonautoimmune haemolytic anaemia,"Drug-induced enzyme deficiency anaemia, "
338,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1846,D59.4,D594,Other nonautoimmune haemolytic anaemias,"Haemolytic anaemia: mechanical, Haemolytic anaemia: microangiopathic, Haemolytic anaemia: toxic, "
339,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1849,D59.8,D598,Other acquired haemolytic anaemias,''
340,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1850,D59.9,D599,"Acquired haemolytic anaemia, unspecified","Idiopathic haemolytic anaemia, chronic, "
341,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1856,D61,D61,Other aplastic anaemias,''
342,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1857,D61.0,D610,Constitutional aplastic anaemia,"Aplasia, (pure) red cell (of): congenital, Aplasia, (pure) red cell (of): infants, Aplasia, (pure) red cell (of): primary, Blackfan-Diamond syndrome, Familial hypoplastic anaemia, Fanconi anaemia, Pancytopenia with malformations, "
343,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1858,D61.1,D611,Drug-induced aplastic anaemia,''
344,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1859,D61.2,D612,Aplastic anaemia due to other external agents,''
345,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1860,D61.3,D613,Idiopathic aplastic anaemia,''
346,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1861,D61.8,D618,Other specified aplastic anaemias,''
347,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1862,D61.9,D619,"Aplastic anaemia, unspecified","Hypoplastic anaemia NOS, Medullary hypoplasia, Panmyelophthisis, "
348,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1863,D62,D62,Acute posthaemorrhagic anaemia,''
349,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1864,D63,D63,Anaemia in chronic diseases classified elsewhere,''
350,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1865,D63.0,D630,Anaemia in neoplastic disease,''
351,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1866,D63.8,D638,Anaemia in other chronic diseases classified elsewhere,"Anaemia in chronic kidney disease over stage 3, "
352,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1867,D64,D64,Other anaemias,''
353,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1868,D64.0,D640,Hereditary sideroblastic anaemia,"Sex-linked hypochromic sideroblastic anaemia, "
354,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1869,D64.1,D641,Secondary sideroblastic anaemia due to disease,''
355,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1870,D64.2,D642,Secondary sideroblastic anaemia due to drugs and toxins,''
356,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1871,D64.3,D643,Other sideroblastic anaemias,"Sideroblastic anaemia: NOS, Sideroblastic anaemia: pyridoxine-responsive NEC, "
357,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1872,D64.4,D644,Congenital dyserythropoietic anaemia,"Dyshaematopoietic anaemia (congenital), "
358,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1873,D64.8,D648,Other specified anaemias,"Infantile pseudoleukaemia, Leukoerythroblastic anaemia, "
359,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,1874,D64.9,D649,"Anaemia, unspecified",''
360,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC03,Gastro-Intestinal Disorders(non-Infective),4591,K27,K27,"Peptic ulcer, site unspecified","gastroduodenal ulcer NOS, peptic ulcer NOS, "
361,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC03,Gastro-Intestinal Disorders(non-Infective),4611,K29,K29,Gastritis and duodenitis,"Gastritis, "
362,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC03,Gastro-Intestinal Disorders(non-Infective),4612,K29.0,K290,Acute haemorrhagic gastritis,"Acute (erosive) gastritis with haemorrhage, "
363,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC03,Gastro-Intestinal Disorders(non-Infective),4613,K29.1,K291,Other acute gastritis,''
364,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC03,Gastro-Intestinal Disorders(non-Infective),4614,K29.2,K292,Alcoholic gastritis,''
365,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC03,Gastro-Intestinal Disorders(non-Infective),4615,K29.3,K293,Chronic superficial gastritis,''
366,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC03,Gastro-Intestinal Disorders(non-Infective),4616,K29.4,K294,Chronic atrophic gastritis,"Gastric atrophy, "
367,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC03,Gastro-Intestinal Disorders(non-Infective),4617,K29.5,K295,"Chronic gastritis, unspecified","Chronic gastritis: antral, Chronic gastritis: fundal, "
368,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC03,Gastro-Intestinal Disorders(non-Infective),4618,K29.6,K296,Other gastritis,"Giant hypertrophic gastritis, Granulomatous gastritis, Menetrier disease, "
369,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC03,Gastro-Intestinal Disorders(non-Infective),4619,K29.7,K297,"Gastritis, unspecified",''
370,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC03,Gastro-Intestinal Disorders(non-Infective),4906,K92,K92,Other diseases of digestive system,''
371,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC03,Gastro-Intestinal Disorders(non-Infective),4909,K92.2,K922,"Gastrointestinal haemorrhage, unspecified","Gastrointestinal (GI) bleeding, Haemorrhage: gastric NOS, Haemorrhage: intestinal NOS, "
372,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,6936,O99.0,O990,"Anaemia complicating pregnancy, childbirth and the puerperium","Anaemia in pregnancy, Conditions in D50-D64, "
373,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,7224,P61.2,P612,Anaemia of prematurity,''
374,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,7225,P61.3,P613,Congenital anaemia from fetal blood loss,''
375,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,7226,P61.4,P614,"Other congenital anaemias, not elsewhere classified","Congenital anaemia NOS, "
376,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC04,Pain Requiring Palliative Care,8226,R52,R52,"Pain, not elsewhere classified","Pain Requiring Palliative Care, pain not referable to any one organ or body region, "
377,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,11061,Y44.0,Y440,Iron preparations and other anti-hypochromic-anaemia preparations,''
378,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC02,Other types of Anaemia,11062,Y44.1,Y441,Vitamin B,''
379,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC04,Pain Requiring Palliative Care,11735,Z51.5,Z515,Palliative care,''
380,"1.3.4 ","1.3.4 Non Communicable Diseases/Conditions",NC03,Gastro-Intestinal Disorders(non-Infective),12162,K64.9,K649,"Haemorrhoids, unspecified","Haemorrhoids (bleeding): NOS, Haemorrhoids (bleeding): without mention of degree, "
381,"1.3.5 ","1.3.5 Oral diseases",OD05,Other Oral Conditions,952,C06.0,C060,Cheek mucosa,"Malignant neoplasm: Cheek mucosa, Buccal mucosa NOS, Internal cheek, "
382,"1.3.5 ","1.3.5 Oral diseases",OD03,HIV-Orallesions,548,B21.3,B213,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue",''
383,"1.3.5 ","1.3.5 Oral diseases",OD02,Gingivitis,7765,Q65.5,Q655,"Congenital subluxation of hip, unspecified",''
384,"1.3.5 ","1.3.5 Oral diseases",OD05,Other Oral Conditions,8279,R68.2,R682,"Dry mouth, unspecified",''
385,"1.3.5 ","1.3.5 Oral diseases",OD04,Oral Cancers,8279,R68.2,R682,"Dry mouth, unspecified",''
386,"1.3.5 ","1.3.5 Oral diseases",OD01,Dental Caries,4443,K02,K02,Dental caries,''
387,"1.3.5 ","1.3.5 Oral diseases",OD01,Dental Caries,4444,K02.0,K020,Caries limited to enamel,"White spot lesions [initial caries], "
388,"1.3.5 ","1.3.5 Oral diseases",OD01,Dental Caries,4445,K02.1,K021,Caries of dentine,''
389,"1.3.5 ","1.3.5 Oral diseases",OD01,Dental Caries,4447,K02.3,K023,Arrested dental caries,''
390,"1.3.5 ","1.3.5 Oral diseases",OD01,Dental Caries,4449,K02.8,K028,Other dental caries,''
391,"1.3.5 ","1.3.5 Oral diseases",OD01,Dental Caries,4450,K02.9,K029,"Dental caries, unspecified",''
392,"1.3.5 ","1.3.5 Oral diseases",OD02,Gingivitis,4473,K05,K05,Gingivitis and periodontal diseases,''
393,"1.3.5 ","1.3.5 Oral diseases",OD02,Gingivitis,4474,K05.0,K050,Acute gingivitis,''
394,"1.3.5 ","1.3.5 Oral diseases",OD03,HIV-Orallesions,556,B22.7,B227,HIV disease resulting in multiple diseases classified elsewhere,''
395,"1.3.5 ","1.3.5 Oral diseases",OD05,Other Oral Conditions,954,C06.2,C062,Retromolar area,"Malignant neoplasm: Retromolar area, "
396,"1.3.5 ","1.3.5 Oral diseases",OD05,Other Oral Conditions,953,C06.1,C061,Vestibule of mouth,"Malignant neoplasm: Vestibule of mouth, Buccal sulcus (upper)(lower), Labial sulcus (upper)(lower), "
397,"1.3.6 ","1.3.6 ENT conditions",EN01,Otitis media acute and chronic,3582,H65.0,H650,Acute serous otitis media,"Acute and subacute secretory otitis media, "
398,"1.3.6 ","1.3.6 ENT conditions",EN17,Other ENT conditions,3600,H68.0,H680,Eustachian salpingitis,''
399,"1.3.6 ","1.3.6 ENT conditions",EN01,Otitis media acute and chronic,3597,H67.1,H671,Otitis media in viral diseases classified elsewhere,"Otitis media in: influenza: seasonal virus identified, Otitis media in: influenza: virus not identified, Otitis media in: influenza: zoonotic or pandemic influenza virus identified, Otitis media in: measles, "
400,"1.3.6 ","1.3.6 ENT conditions",EN01,Otitis media acute and chronic,3596,H67.0,H670,Otitis media in bacterial diseases classified elsewhere,"Otitis media in: scarlet fever, Otitis media in: tuberculosis, "
401,"1.3.6 ","1.3.6 ENT conditions",EN01,Otitis media acute and chronic,3595,H67,H67,Otitis media in diseases classified elsewhere,''
402,"1.3.6 ","1.3.6 ENT conditions",EN01,Otitis media acute and chronic,3594,H66.9,H669,"Otitis media, unspecified","Otitis media: NOS, Otitis media: acute NOS, Otitis media: chronic NOS, "
403,"1.3.6 ","1.3.6 ENT conditions",EN01,Otitis media acute and chronic,3593,H66.4,H664,"Suppurative otitis media, unspecified","Purulent otitis media NOS, "
404,"1.3.6 ","1.3.6 ENT conditions",EN01,Otitis media acute and chronic,3592,H66.3,H663,Other chronic suppurative otitis media,"Chronic suppurative otitis media NOS, "
405,"1.3.6 ","1.3.6 ENT conditions",EN01,Otitis media acute and chronic,3591,H66.2,H662,Chronic atticoantral suppurative otitis media,"Chronic atticoantral disease, "
406,"1.3.6 ","1.3.6 ENT conditions",EN01,Otitis media acute and chronic,3590,H66.1,H661,Chronic tubotympanic suppurative otitis media,"Benign chronic suppurative otitis media, Chronic tubotympanic disease, "
407,"1.3.6 ","1.3.6 ENT conditions",EN01,Otitis media acute and chronic,3589,H66.0,H660,Acute suppurative otitis media,''
408,"1.3.6 ","1.3.6 ENT conditions",EN01,Otitis media acute and chronic,3588,H66,H66,Suppurative and unspecified otitis media,"with myringitis, "
409,"1.3.6 ","1.3.6 ENT conditions",EN01,Otitis media acute and chronic,3587,H65.9,H659,"Nonsuppurative otitis media, unspecified","Otitis media: allergic, Otitis media: catarrhal, Otitis media: exudative, Otitis media: mucoid, Otitis media: secretory, Otitis media: seromucinous, Otitis media: serous, Otitis media: transudative, Otitis media: with effusion (nonpurulent), "
410,"1.3.6 ","1.3.6 ENT conditions",EN01,Otitis media acute and chronic,3586,H65.4,H654,Other chronic nonsuppurative otitis media,"Otitis media, chronic: allergic, Otitis media, chronic: exudative, Otitis media, chronic: nonsuppurative NOS, Otitis media, chronic: seromucinous, Otitis media, chronic: with effusion (nonpurulent), "
411,"1.3.6 ","1.3.6 ENT conditions",EN01,Otitis media acute and chronic,3585,H65.3,H653,Chronic mucoid otitis media,"Glue ear, Otitis media, chronic: mucinous, Otitis media, chronic: secretory, Otitis media, chronic: transudative, "
412,"1.3.6 ","1.3.6 ENT conditions",EN01,Otitis media acute and chronic,3584,H65.2,H652,Chronic serous otitis media,"Chronic tubotympanal catarrh, "
413,"1.3.6 ","1.3.6 ENT conditions",EN01,Otitis media acute and chronic,3583,H65.1,H651,Other acute nonsuppurative otitis media,"Otitis media, acute and subacute: allergic (mucoid)(sanguinous)(serous), Otitis media, acute and subacute: mucoid, Otitis media, acute and subacute: nonsuppurative NOS, Otitis media, acute and subacute: sanguinous, Otitis media, acute and subacute: seromucinous, "
414,"1.3.6 ","1.3.6 ENT conditions",EN11,Mastoid abscess,3559,H60.0,H600,Abscess of external ear,"Boil of auricle or external auditory canal, Carbuncle of auricle or external auditory canal, Furuncle of auricle or external auditory canal, "
415,"1.3.6 ","1.3.6 ENT conditions",EN10,Otitis external,3579,H62.4,H624,Otitis externa in other diseases classified elsewhere,"Otitis externa in impetigo, "
416,"1.3.6 ","1.3.6 ENT conditions",EN01,Otitis media acute and chronic,3581,H65,H65,Nonsuppurative otitis media,"with myringitis, "
417,"1.3.6 ","1.3.6 ENT conditions",EN12,Vertigo,424,A88.1,A881,Epidemic vertigo,''
418,"1.3.6 ","1.3.6 ENT conditions",EN16,Head and Neck cancer,4936,L04.0,L040,"Acute lymphadenitis of face, head and neck",''
419,"1.3.6 ","1.3.6 ENT conditions",EN13,Tonsillitis,465,B00.2,B002,Herpesviral gingivostomatitis and pharyngotonsillitis,"Herpesviral pharyngitis, "
420,"1.3.6 ","1.3.6 ENT conditions",EN16,Head and Neck cancer,12030,Z90.0,Z900,Acquired absence of part of head and neck,"Eye, Larynx, Nose, "
421,"1.3.6 ","1.3.6 ENT conditions",EN09, Infected pre-auricular sinuses and abscess,4531,K12.2,K122,Cellulitis and abscess of mouth,"Submandibular abscess / Ludwigs angina, Cellulitis of mouth (floor), Submandibular abscess, "
422,"1.3.6 ","1.3.6 ENT conditions",EN07, Adenoid Hypertrophy,4273,J35.8,J358,Other chronic diseases of tonsils and adenoids,"Adenoid vegetations, Amygdalolith, Cicatrix of tonsil (and adenoid), Tonsillar tag, Ulcer of tonsil, "
423,"1.3.6 ","1.3.6 ENT conditions",EN14,Tonsilar hypertrophy,4270,J35.1,J351,Hypertrophy of tonsils,"Enlargement of tonsils, "
424,"1.3.6 ","1.3.6 ENT conditions",EN13,Tonsillitis,4269,J35.0,J350,Chronic tonsillitis,''
425,"1.3.6 ","1.3.6 ENT conditions",EN16,Head and Neck cancer,9269,T20.3,T203,Burn of third degree of head and neck,''
426,"1.3.6 ","1.3.6 ENT conditions",EN08, Foreign Body in nose ear and aero-digestive system,9242,T17.1,T171,Foreign body in nostril,"Nose NOS, "
427,"1.3.6 ","1.3.6 ENT conditions",EN05,Sinusitis,4256,J32.9,J329,"Chronic sinusitis, unspecified","Sinusitis (chronic) NOS, "
428,"1.3.6 ","1.3.6 ENT conditions",EN05,Sinusitis,4255,J32.8,J328,Other chronic sinusitis,"Sinusitis (chronic) involving more than one sinus but not pansinusitis, "
429,"1.3.6 ","1.3.6 ENT conditions",EN05,Sinusitis,4254,J32.4,J324,Chronic pansinusitis,"Pansinusitis NOS, "
430,"1.3.6 ","1.3.6 ENT conditions",EN04,Rhinitis,4246,J31.0,J310,Chronic rhinitis,"Ozena, Rhinitis (chronic): NOS, Rhinitis (chronic): atrophic, Rhinitis (chronic): granulomatous, Rhinitis (chronic): hypertrophic, Rhinitis (chronic): obstructive, Rhinitis (chronic): purulent, Rhinitis (chronic): ulcerative, "
431,"1.3.6 ","1.3.6 ENT conditions",EN04,Rhinitis,4245,J31,J31,"Chronic rhinitis, nasopharyngitis and pharyngitis",''
432,"1.3.6 ","1.3.6 ENT conditions",EN04,Rhinitis,4244,J30.4,J304,"Allergic rhinitis, unspecified",''
433,"1.3.6 ","1.3.6 ENT conditions",EN04,Rhinitis,4243,J30.3,J303,Other allergic rhinitis,"Perennial allergic rhinitis, "
434,"1.3.6 ","1.3.6 ENT conditions",EN13,Tonsillitis,4166,J03.9,J039,"Acute tonsillitis, unspecified","Tonsillitis (acute): NOS, Tonsillitis (acute): follicular, Tonsillitis (acute): gangrenous, Tonsillitis (acute): infective, Tonsillitis (acute): ulcerative, "
435,"1.3.6 ","1.3.6 ENT conditions",EN13,Tonsillitis,4165,J03.8,J038,Acute tonsillitis due to other specified organisms,''
436,"1.3.6 ","1.3.6 ENT conditions",EN13,Tonsillitis,4164,J03.0,J030,Streptococcal tonsillitis,''
437,"1.3.6 ","1.3.6 ENT conditions",EN13,Tonsillitis,4163,J03,J03,Acute tonsillitis,''
438,"1.3.6 ","1.3.6 ENT conditions",EN15,Tinnitus,3680,H93.1,H931,Tinnitus,''
439,"1.3.6 ","1.3.6 ENT conditions",EN03,Hearing loss,3673,H91.9,H919,"Hearing loss, unspecified","Deafness: NOS, Deafness: high frequency, Deafness: low frequency, "
440,"1.3.6 ","1.3.6 ENT conditions",EN03,Hearing loss,3672,H91.8,H918,Other specified hearing loss,''
441,"1.3.6 ","1.3.6 ENT conditions",EN03,Hearing loss,3670,H91.2,H912,Sudden idiopathic hearing loss,"Sudden hearing loss NOS, "
442,"1.3.6 ","1.3.6 ENT conditions",EN03,Hearing loss,3668,H91.0,H910,Ototoxic hearing loss,''
443,"1.3.6 ","1.3.6 ENT conditions",EN03,Hearing loss,3667,H91,H91,Other hearing loss,''
444,"1.3.6 ","1.3.6 ENT conditions",EN03,Hearing loss,3666,H90.8,H908,"Mixed conductive and sensorineural hearing loss, unspecified",''
445,"1.3.6 ","1.3.6 ENT conditions",EN03,Hearing loss,3665,H90.7,H907,"Mixed conductive and sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side",''
446,"1.3.6 ","1.3.6 ENT conditions",EN03,Hearing loss,3664,H90.6,H906,"Mixed conductive and sensorineural hearing loss, bilateral",''
447,"1.3.6 ","1.3.6 ENT conditions",EN03,Hearing loss,3663,H90.5,H905,"Sensorineural hearing loss, unspecified","Congenital deafness NOS, Hearing loss: central NOS, Hearing loss: neural NOS, Hearing loss: perceptive NOS, Hearing loss: sensory NOS, Sensorineural deafness NOS, "
448,"1.3.6 ","1.3.6 ENT conditions",EN03,Hearing loss,3662,H90.4,H904,"Sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side",''
449,"1.3.6 ","1.3.6 ENT conditions",EN03,Hearing loss,3661,H90.3,H903,"Sensorineural hearing loss, bilateral",''
450,"1.3.6 ","1.3.6 ENT conditions",EN03,Hearing loss,3660,H90.2,H902,"Conductive hearing loss, unspecified","Conductive deafness NOS, "
451,"1.3.6 ","1.3.6 ENT conditions",EN03,Hearing loss,3659,H90.1,H901,"Conductive hearing loss, unilateral with unrestricted hearing on the contralateral side",''
452,"1.3.6 ","1.3.6 ENT conditions",EN03,Hearing loss,3658,H90.0,H900,"Conductive hearing loss, bilateral",''
453,"1.3.6 ","1.3.6 ENT conditions",EN06, Epixtasis,8051,R04.0,R040,Epistaxis,"Haemorrhage from nose, Nosebleed, "
454,"1.3.6 ","1.3.6 ENT conditions",EN03,Hearing loss,3657,H90,H90,Conductive and sensorineural hearing loss,"congenital deafness, "
