id,section_name,section_id,section_item_name,section_item_code
89,Eye conditions,1.3.7,Vitamin A Deficiency,EC10
90,Eye conditions,1.3.7,Diabetic Retinopathy (All stages),EC11
91,Eye conditions,1.3.7,Chorioretinal Macular Vitreous Disorders,EC12
92,Eye conditions,1.3.7,Corneal scars (Non trachomatous),EC13
93,Eye conditions,1.3.7,Tumours,EC14
94,Eye conditions,1.3.7,Blindness,EC15
95,Eye conditions,1.3.7,Other eye conditions,EC16
96,Mental Health,1.3.8,Brief Psychotic Disorder,MH01
97,Mental Health,1.3.8,Schizophrenia,MH02
98,Mental Health,1.3.8,Bipolar Affective Disorder,MH03
99,Mental Health,1.3.8,Major Depressive Disorder,MH04
100,Mental Health,1.3.8,Anxiety Phobic Disorders,MH05
101,Mental Health,1.3.8,Anxiety Social anxiety Disorders,MH06
102,Mental Health,1.3.8,Anxiety Panic Disorder,MH07
103,Mental Health,1.3.8,Anxiety Generalized anxiety Disorder,MH08
104,Mental Health,1.3.8,Alcohol Use Disorders,MH09
105,Mental Health,1.3.8,Epilepsy - New,MH10a
106,Mental Health,1.3.8,Epilepsy - Known,MH10b
107,Mental Health,1.3.8,Other Childhood Mental Disorders,MH11
108,Mental Health,1.3.8,Other Adult Mental Disorders,MH12
109,Neurological Disorders,1.3.9,Parkinson's disease,NE01
110,Neurological Disorders,1.3.9,Dementia,NE02
111,Neurological Disorders,1.3.9,Persons in Coma Emergency Care,NE03
112,Neurological Disorders,1.3.9,Down Syndrome (DS),NE04
113,Neurological Disorders,1.3.9,CPPML/CP,NE05
114,Neurological Disorders,1.3.9,Learning Disability,NE06
115,Neurological Disorders,1.3.9,Eating disorders (anorexia Bulimia other feeding),NE07
116,Neurological Disorders,1.3.9,Others,NE08
117,Chronic respiratory diseases,1.3.10,Asthma - New,CR01a
118,Chronic respiratory diseases,1.3.10,Asthma - Known,CR01b
119,Chronic respiratory diseases,1.3.10,Chronic Obstructive Pulmonary Disease (COPD) - New,CR02a
120,Chronic respiratory diseases,1.3.10,Chronic Obstructive Pulmonary Disease (COPD) - Known,CR02b
121,Chronic respiratory diseases,1.3.10,Other Chronic Respiratory diseases,CR03
122,Cancers,1.3.11,Cervical Cancer,CA01
123,Cancers,1.3.11,Prostate Cancer,CA02
124,Cancers,1.3.11,Breast Cancer,CA03
125,Cancers,1.3.11,Lung Cancer,CA04
126,Cancers,1.3.11,Liver Cancer,CA05
127,Cancers,1.3.11,Colon Cancer,CA06
128,Cancers,1.3.11,Kaposis Sarcoma,CA07
129,Cancers,1.3.11,Other Cancers,CA08
130,Palliative,1.3.12,No of patients that need palliative care - Cancer,PC01a
131,Palliative,1.3.12,No of patients that need palliative care - HIV/AIDS,PC01b
132,Palliative,1.3.12,No of patients that need palliative care - Sickle Cell Anemia (SCA),PC01c
133,Palliative,1.3.12,No of patients that need palliative care - Others,PC01d
134,Palliative,1.3.12,No of new patients that received palliative care during the month - Cancer,PC02a
135,Palliative,1.3.12,No of new patients that received palliative care during the month - HIV/AIDS,PC02b
136,Palliative,1.3.12,No of new patients that received palliative care during the month - Sickle Cell Anemia (SCA),PC02c
137,Palliative,1.3.12,No of new patients that received palliative care during the month - Others,PC02d
138,Palliative,1.3.12,No of patients that received palliative care during the month - Cancer,PC03a
139,Palliative,1.3.12,No of patients that received palliative care during the month - HIV/AIDS,PC03b
140,Palliative,1.3.12,No of patients that received palliative care during the month - Sickle Cell Anemia (SCA),PC03c
141,Palliative,1.3.12,No of patients that received palliative care during the month - Others,PC03d
142,Palliative,1.3.12,No of patients that received palliative care with a documented WHO performance status during the month - Working (Adults),PC04a
143,Palliative,1.3.12,No of patients that received palliative care with a documented WHO performance status during the month - Playing (Children),PC04b
144,Palliative,1.3.12,No of patients that received palliative care with a documented WHO performance status during the month - Ambulant,PC04c
145,Palliative,1.3.12,No of patients that received palliative care with a documented WHO performance status during the month - Bedridden,PC04d
146,Palliative,1.3.12,No of patients that received palliative care and are on oral liquid morphine,PC05
147,Palliative,1.3.12,No of patients on palliative care who died during the month,PC06
148,Disabilities,1.3.14,Individuals with Difficulty in seeing,DS01
149,Disabilities,1.3.14,Individuals with Albinism,DS02
150,Disabilities,1.3.14,Individuals with Difficulty in hearing,DS03
151,Disabilities,1.3.14,Individuals with Speech Difficulties,DS04
152,Disabilities,1.3.14,Individuals with delayed age specific motor development,DS05
153,Disabilities,1.3.14,Individuals with Dwarfism,DS06
154,Disabilities,1.3.14,Individuals with Difficulty understanding,DS07
155,Disabilities,1.3.14,Individuals with Difficulty in remembering,DS08
156,Disabilities,1.3.14,Individuals with Difficulty in reading,DS09
157,Disabilities,1.3.14,Individuals with Difficulty in writing,DS10
158,Disabilities,1.3.14,Individuals with Difficulty in self care,DS11
159,Disabilities,1.3.14,Individuals with Mentally impairment,DS12
160,Disabilities,1.3.14,Individuals with Emotionally impairment,DS13
161,Cardiovascular diseases,1.3.15,Stroke Cardiovascular Accident (CVA),CV01
162,Cardiovascular diseases,1.3.15,Hypertension - New,CV02a
163,Cardiovascular diseases,1.3.15,Hypertension - Known,CV02b
164,Cardiovascular diseases,1.3.15,Heart failure,CV03
165,Cardiovascular diseases,1.3.15,Ischemic Heart Diseases,CV04
166,Cardiovascular diseases,1.3.15,Rheumatic Heart Diseases,CV05
167,Cardiovascular diseases,1.3.15,Congenital Heart Diseases,CV06
168,Cardiovascular diseases,1.3.15,Other Cardiovascular Diseases,CV07
169,Renal Diseases,1.3.16,Acute Kidney Injury,RD01
170,Renal Diseases,1.3.16,Acute glomerulonephritis,RD02
171,Renal Diseases,1.3.16,Nephrotic syndrome,RD03
172,Renal Diseases,1.3.16,Uncomplicated UTI,RD04
173,Renal Diseases,1.3.16,Complicated UTI,RD05
174,Liver Diseases,1.3.17,Liver Cirrhosis,LD01
175,Liver Diseases,1.3.17,Liver Abscess,LD02
176,Liver Diseases,1.3.17,Hepatitis A,LD03
177,Liver Diseases,1.3.17,Hepatitis B,LD04
178,Liver Diseases,1.3.17,Hepatitis C,LD05
179,Liver Diseases,1.3.17,Hepatitis D,LD06
180,Liver Diseases,1.3.17,Hepatitis E,LD07
181,Endocrine and Metabolic Disorders,1.3.18,Diabetes mellitus - New - Type 1,EM01a
182,Endocrine and Metabolic Disorders,1.3.18,Diabetes mellitus - New - Type 2,EM01b
183,Endocrine and Metabolic Disorders,1.3.18,Diabetes mellitus - New - Other Forms,EM01c
184,Endocrine and Metabolic Disorders,1.3.18,Diabetes mellitus - Known - Type 1,EM01d
185,Endocrine and Metabolic Disorders,1.3.18,Diabetes mellitus - Known - Type 2,EM01e
186,Endocrine and Metabolic Disorders,1.3.18,Diabetes mellitus - Known - Other Forms,EM01f
187,Endocrine and Metabolic Disorders,1.3.18,Thyroid Disease,EM02
